2.0,-31.0,0.43416,6.04821,0.06228,-0.01963,-0.01963,0.62902,0.44917,871
2.0,-31.0,0.54046,3.01893,0.07584,-0.00108,-0.00108,0.3363,0.31162,871
2.0,-31.0,0.06046,4.59797,0.00265,-0.072,-0.072,3.8742,0.23459,871
2.0,-31.0,2.09938,5.8715,0.14411,0.00315,0.00315,0.00198,0.00461,871
2.0,-30.0,0.05172,1.12723,0.00207,0.04326,0.04326,2.8624,0.23433,1428
2.0,-30.0,0.62632,2.9966,0.06781,0.01582,0.01582,0.17586,0.15329,1428
2.0,-30.0,0.41772,6.1333,0.04722,-2e-05,-2e-05,2.56397,0.59513,1428
2.0,-30.0,1.37195,5.25605,0.3088,-0.72528,-0.72528,4.85635,0.01726,1428
2.0,-29.0,0.3316,1.85826,0.06602,0.37332,0.37332,5.95715,0.98328,1497
2.0,-29.0,1.64965,3.31646,0.38709,0.04531,0.04531,2.87298,0.01672,1497
2.0,-28.0,0.12668,5.83941,0.01662,-0.04363,-0.04363,0.79977,0.34603,1777
2.0,-28.0,0.40367,2.26067,0.05957,-0.0035,-0.0035,2.99375,0.65397,1777
2.0,-27.0,0.52918,2.26979,0.06584,-0.0066,-0.0066,0.24331,0.26296,1061
2.0,-27.0,0.27964,5.81828,0.05756,-0.04119,-0.04119,2.38236,0.72947,1061
2.0,-27.0,2.71499,2.35659,0.05665,0.02903,0.02903,0.30879,0.00757,1061
2.0,-26.0,0.5919,2.21017,0.04107,0.0084,0.0084,0.11992,0.37038,337
2.0,-26.0,0.17188,6.2488,0.02889,-0.02987,-0.02987,1.94253,0.45748,337
2.0,-26.0,0.76126,5.62368,0.34784,0.42476,0.42476,0.62124,0.17214,337
2.0,-6.0,0.27503,6.24529,0.05352,-0.01485,-0.01485,0.1044,1.0,7
2.0,-5.0,0.45092,6.13195,0.44666,-0.11511,-0.11511,0.05464,0.15425,87
2.0,-5.0,0.26432,2.21777,0.03343,0.15306,0.15306,3.97368,0.77122,87
2.0,-5.0,0.30425,4.68262,0.0476,-0.00973,-0.00973,0.00279,0.07453,87
2.0,-4.0,0.3137,2.31446,0.09485,0.4687,0.4687,4.6619,1.0,132
2.0,-3.0,0.37095,3.40776,0.08809,0.02147,0.02147,0.99392,0.64091,149
2.0,-3.0,0.37681,0.01283,0.18344,-3e-05,-3e-05,0.19202,0.35909,149
2.0,-2.0,0.51788,6.26423,0.1059,-0.02233,-0.02233,0.16658,0.29168,227
2.0,-2.0,0.45396,3.13157,0.06149,-0.01105,-0.01105,1.12477,0.37282,227
2.0,-2.0,0.05702,2.18776,0.00251,0.09615,0.09615,5.97012,0.3355,227
2.0,-1.0,0.36703,0.03512,0.12239,-0.00779,-0.00779,0.10569,0.46678,147
2.0,-1.0,0.41828,2.5049,0.0753,0.11626,0.11626,0.74334,0.449,147
2.0,-1.0,0.09007,4.59224,0.00306,-0.00241,-0.00241,0.14205,0.08422,147
2.0,0.0,0.63387,3.24442,0.01825,-0.0333,-0.0333,0.07217,0.3074,42
2.0,0.0,0.36696,0.16989,0.08783,0.05312,0.05312,0.93324,0.57992,42
2.0,0.0,0.28422,2.10856,0.10154,0.23861,0.23861,0.56228,0.11268,42
2.0,1.0,0.70961,3.32091,0.00941,0.00115,0.00115,0.00732,0.61111,18
2.0,1.0,0.58345,0.37713,0.11637,-0.07944,-0.07944,0.48825,0.38889,18
3.0,-32.0,0.27014,5.22731,0.08019,-0.16615,-0.16615,3.14673,1.0,511
3.0,-31.0,0.42881,6.02255,0.05997,0.00599,0.00599,0.52854,0.39206,1239
3.0,-31.0,0.4446,2.96025,0.07554,0.00698,0.00698,0.44916,0.38872,1239
3.0,-31.0,0.0294,0.01909,0.00129,-0.00013,-0.00013,0.47,0.19577,1239
3.0,-31.0,1.56438,4.5637,0.52903,-0.08811,-0.08811,1.87529,0.02344,1239
3.0,-30.0,0.46791,2.91608,0.11266,-0.0513,-0.0513,1.83344,0.59904,1467
3.0,-30.0,0.28301,6.18775,0.07026,-0.01528,-0.01528,0.21669,0.39959,1467
3.0,-30.0,1.68279,4.7745,0.11074,0.0208,0.0208,0.00391,0.00137,1467
3.0,-29.0,0.43069,2.78334,0.06357,-0.06235,-0.06235,1.61618,0.60934,1282
3.0,-29.0,0.29027,6.1812,0.07551,-0.04354,-0.04354,0.33636,0.35135,1282
3.0,-29.0,2.87137,4.0595,0.01271,0.01201,0.01201,0.01134,0.00156,1282
3.0,-29.0,2.5334,2.48006,0.01604,0.07751,0.07751,0.38727,0.00308,1282
3.0,-29.0,1.24359,4.7591,0.31374,0.22393,0.22393,2.54726,0.03467,1282
3.0,-28.0,0.36402,1.34556,0.07113,0.1998,0.1998,4.02918,0.9668,1280
3.0,-28.0,0.87765,5.67023,0.31595,0.21449,0.21449,0.21366,0.0332,1280
3.0,-27.0,0.33077,1.21171,0.06969,0.13624,0.13624,3.24251,0.94918,891
3.0,-27.0,0.90246,5.71034,0.37,0.11416,0.11416,0.07595,0.04633,891
3.0,-27.0,2.57232,2.1572,0.0333,-0.08851,-0.08851,0.35201,0.00449,891
3.0,-26.0,0.43119,2.4017,0.10355,-0.04037,-0.04037,0.59641,0.61959,22
3.0,-26.0,0.44422,6.00791,0.11574,-0.08306,-0.08306,0.06821,0.38041,22
3.0,-5.0,1.66183,6.07529,0.40235,-0.05033,-0.05033,0.0063,0.08184,14
3.0,-5.0,0.26161,5.55079,0.06984,-0.19746,-0.19746,1.82426,0.91816,14
3.0,-4.0,0.39686,3.59806,0.0542,0.02309,0.02309,0.27631,0.60339,50
3.0,-4.0,0.39601,0.15712,0.14975,-0.00559,-0.00559,0.4348,0.39661,50
